(239, 70, 261, 37)
(302, 63, 313, 42)
(317, 70, 332, 43)
(370, 69, 393, 36)
(32, 131, 46, 117)
(49, 131, 64, 106)
(64, 137, 74, 114)
(78, 130, 93, 115)
(96, 129, 108, 114)
(111, 137, 120, 113)
(124, 129, 140, 107)
(159, 137, 178, 115)
(180, 127, 187, 115)
(207, 128, 218, 113)
(221, 135, 229, 112)
(233, 128, 238, 106)
(243, 129, 259, 115)
(261, 129, 275, 114)
(294, 135, 313, 114)
(323, 128, 336, 113)
(352, 128, 363, 112)
(367, 128, 380, 113)
(382, 129, 397, 104)
(399, 135, 416, 114)
(419, 129, 432, 114)
(451, 136, 470, 115)
(489, 136, 506, 108)
(510, 128, 522, 113)
(527, 137, 541, 114)
(543, 128, 556, 113)
(576, 128, 589, 114)
(594, 128, 601, 115)
(30, 164, 44, 148)
(48, 163, 58, 149)
(62, 163, 69, 150)
(73, 163, 90, 147)
(110, 162, 121, 149)
(133, 162, 145, 148)
(148, 169, 158, 147)
(178, 162, 191, 148)
(195, 162, 209, 138)
(212, 161, 227, 147)
(230, 161, 247, 140)
(263, 161, 271, 147)
(274, 162, 290, 148)
(292, 161, 304, 147)
(322, 161, 342, 147)
(345, 161, 358, 147)
(360, 169, 369, 146)
(373, 161, 389, 147)
(392, 161, 403, 146)
(406, 168, 415, 147)
(419, 161, 424, 148)
(445, 162, 458, 148)
(462, 162, 468, 149)
(473, 162, 486, 148)
(491, 162, 506, 148)
(508, 168, 517, 146)
(520, 161, 534, 139)
(556, 161, 569, 147)
(574, 162, 579, 141)
(583, 160, 590, 146)
(591, 154, 601, 150)
(30, 197, 43, 182)
(46, 196, 59, 182)
(63, 196, 68, 182)
(86, 203, 104, 182)
(108, 195, 120, 181)
(125, 200, 132, 180)
(135, 195, 149, 172)
(152, 201, 160, 181)
(165, 195, 169, 182)
(189, 195, 199, 181)
(211, 194, 224, 180)
(226, 202, 236, 179)
(255, 194, 266, 180)
(269, 202, 278, 180)
(282, 195, 298, 174)
(316, 195, 324, 181)
(327, 195, 340, 181)
(359, 194, 372, 180)
(376, 201, 384, 179)
(387, 194, 400, 180)
(404, 194, 419, 180)
(422, 195, 429, 182)
(449, 195, 453, 181)
(454, 195, 462, 181)
(464, 195, 477, 181)
(496, 194, 508, 180)
(511, 201, 519, 179)
(523, 193, 529, 181)
(538, 199, 546, 180)
(562, 202, 580, 174)
(583, 194, 590, 181)
(591, 187, 602, 183)
(29, 236, 39, 213)
(43, 230, 49, 208)
(52, 237, 61, 214)
(64, 228, 81, 207)
(99, 236, 118, 215)
(128, 228, 140, 214)
(144, 228, 149, 214)
(150, 228, 157, 214)
(161, 229, 175, 205)
(178, 228, 185, 215)
(188, 228, 195, 216)
(222, 234, 240, 214)
(244, 226, 257, 213)
(261, 234, 270, 212)
(274, 227, 280, 215)
(284, 227, 298, 205)
(301, 227, 314, 213)
(318, 228, 331, 213)
(357, 227, 375, 213)
(380, 227, 385, 206)
(406, 234, 423, 207)
(427, 228, 439, 214)
(443, 229, 462, 214)
(466, 228, 470, 215)
(475, 227, 486, 213)
(488, 227, 493, 208)
(497, 227, 509, 213)
(512, 235, 521, 213)
(526, 227, 530, 206)
(535, 228, 542, 214)
(546, 228, 552, 207)
(572, 227, 585, 213)
(586, 227, 602, 203)
(30, 263, 41, 249)
(46, 262, 53, 250)
(56, 261, 64, 238)
(82, 262, 102, 247)
(106, 261, 118, 247)
(122, 261, 130, 237)
(148, 268, 166, 247)
(170, 261, 177, 248)
(196, 261, 212, 247)
(216, 260, 227, 245)
(232, 260, 240, 246)
(267, 260, 285, 247)
(289, 259, 294, 241)
(322, 260, 326, 247)
(322, 261, 333, 247)
(337, 261, 351, 238)
(370, 260, 382, 245)
(386, 254, 391, 247)
(393, 260, 396, 246)
(401, 260, 407, 247)
(411, 261, 429, 246)
(448, 261, 459, 247)
(463, 261, 470, 248)
