(521, 540, 547, 571)
(554, 522, 585, 571)
(624, 541, 649, 571)
(660, 544, 686, 573)
(695, 524, 724, 574)
(732, 544, 739, 573)
(742, 544, 757, 574)
(763, 543, 789, 572)
(799, 542, 831, 572)
(836, 523, 867, 573)
(869, 545, 892, 599)
(901, 524, 919, 539)
(905, 545, 913, 573)
(959, 544, 983, 598)
(992, 546, 1005, 573)
(1014, 541, 1038, 573)
(1046, 545, 1061, 572)
(1107, 543, 1122, 573)
(1130, 545, 1163, 575)
(1174, 544, 1183, 574)
(1186, 545, 1201, 575)
(1211, 544, 1245, 574)
(1285, 526, 1316, 575)
(1319, 550, 1339, 559)
(104, 619, 127, 671)
(136, 618, 166, 648)
(176, 619, 207, 665)
(212, 598, 230, 613)
(216, 618, 224, 647)
(267, 617, 310, 646)
(320, 601, 330, 644)
(372, 613, 395, 643)
(403, 595, 433, 645)
(440, 614, 466, 644)
(476, 614, 508, 661)
(512, 593, 530, 610)
(516, 614, 526, 642)
(578, 614, 618, 658)
(658, 616, 681, 669)
(690, 616, 723, 645)
(734, 616, 749, 645)
(751, 629, 766, 640)
(114, 677, 115, 677)
(248, 666, 298, 720)
(306, 683, 339, 716)
(346, 687, 367, 740)
(375, 662, 386, 682)
(392, 685, 416, 715)
(424, 688, 445, 716)
(455, 670, 490, 715)
(500, 686, 514, 715)
(523, 685, 556, 715)
(562, 684, 589, 716)
(633, 685, 658, 716)
(666, 686, 692, 716)
(697, 687, 721, 741)
(730, 688, 762, 718)
(770, 672, 779, 717)
(789, 688, 809, 716)
(819, 671, 828, 717)
(838, 686, 863, 717)
(871, 686, 898, 717)
(951, 686, 979, 717)
(987, 664, 1019, 716)
(1027, 685, 1042, 717)
(1048, 688, 1061, 716)
(1070, 685, 1102, 718)
(1147, 686, 1174, 717)
(1181, 686, 1213, 717)
(1222, 686, 1254, 717)
(1262, 688, 1275, 718)
(1283, 685, 1304, 716)
(1313, 685, 1341, 717)
(105, 763, 130, 794)
(136, 742, 166, 794)
(175, 762, 200, 791)
(190, 762, 199, 770)
(206, 763, 229, 816)
(235, 741, 267, 792)
(272, 762, 293, 814)
(300, 740, 318, 789)
(364, 759, 379, 788)
(388, 757, 411, 788)
(421, 755, 444, 786)
(454, 756, 479, 787)
(489, 758, 504, 787)
(511, 760, 526, 787)
(567, 758, 605, 803)
(614, 742, 623, 788)
(636, 758, 645, 787)
(649, 758, 663, 787)
(708, 760, 730, 789)
(740, 761, 753, 788)
